"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://muru.ru/catalog/interer/postery/lenta-organza/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,515","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/lenta-organza/","2026-06-16 10:35:15"
"https://muru.ru/catalog/interer/postery/poster-lyubov-vitaet-v-vozdukhe-1741366160/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,465","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/poster-lyubov-vitaet-v-vozdukhe-1741366160/","2026-06-16 10:35:15"
"https://muru.ru/catalog/interer/postery/?PAGEN_1=2","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","3","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,457","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/?PAGEN_1=2","2026-06-16 10:35:15"
"https://muru.ru/catalog/interer/postery/poster-le-fler-924747104/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,545","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/poster-le-fler-924747104/","2026-06-16 10:35:15"
"https://muru.ru/catalog/interer/postery/poster-lyubov-vitaet-v-vozdukhe-225942377/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,513","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/poster-lyubov-vitaet-v-vozdukhe-225942377/","2026-06-16 10:35:15"
"https://muru.ru/catalog/interer/postery/lenta-dekorativnaya-kruzhevo-83450635/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,515","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/lenta-dekorativnaya-kruzhevo-83450635/","2026-06-16 10:35:15"
"https://muru.ru/catalog/interer/postery/poster-lyubov-vitaet-v-vozdukhe-1747159258/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,539","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/poster-lyubov-vitaet-v-vozdukhe-1747159258/","2026-06-16 10:35:15"
"https://muru.ru/catalog/interer/postery/poster-zheltye-tsvety-130871307/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,511","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/poster-zheltye-tsvety-130871307/","2026-06-16 10:35:15"
"https://muru.ru/catalog/interer/postery/poster-le-fler-310074394/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,510","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/poster-le-fler-310074394/","2026-06-16 10:35:15"
"https://muru.ru/catalog/interer/postery/poster-zheltye-tsvety-692976146/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,521","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/poster-zheltye-tsvety-692976146/","2026-06-16 10:35:16"
"https://muru.ru/catalog/interer/postery/poster-kuvshin-1108530268/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,511","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/poster-kuvshin-1108530268/","2026-06-16 10:35:16"
"https://muru.ru/catalog/interer/postery/poster-kuvshin-1717936444/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,533","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/poster-kuvshin-1717936444/","2026-06-16 10:35:16"
"https://muru.ru/catalog/interer/postery/poster-zheltye-tsvety-1839240781/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,531","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/poster-zheltye-tsvety-1839240781/","2026-06-16 10:35:16"
"https://muru.ru/catalog/interer/postery/poster-kuvshin-54249288/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,552","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/poster-kuvshin-54249288/","2026-06-16 10:35:16"
"https://muru.ru/catalog/interer/postery/lenta-dekorativnaya-barkhat-1073152653/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,513","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/postery/lenta-dekorativnaya-barkhat-1073152653/","2026-06-16 10:35:16"
"https://muru.ru/upload/iblock/a9e/6eji8jrgj2glp1sk65tk3esly89ia6xf.PNG","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1684023","1684023","1684023","249,572","","0","","","","","0,000","2","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,508","Fri, 05 Jun 2026 07:54:49 GMT","","","","","1.1","","","","","","https://muru.ru/upload/iblock/a9e/6eji8jrgj2glp1sk65tk3esly89ia6xf.PNG","2026-06-16 10:35:16"
"https://muru.ru/catalog/interer/svet/svetilnik-malyy-pape-mashe/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,519","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/svet/svetilnik-malyy-pape-mashe/","2026-06-16 10:35:16"
"https://muru.ru/catalog/interer/svet/svetilnik-bolshoy-pape-mashe/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,508","","","","","","1.1","","","","","","https://muru.ru/catalog/interer/svet/svetilnik-bolshoy-pape-mashe/","2026-06-16 10:35:16"
"https://muru.ru/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-forma-sveta-535764464/","text/html; charset=UTF-8","503","Service Unavailable","Non-Indexable","Server Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","4","","2","1","0","6,250","0","0","0","0","0","0","","","","","","0,490","","","","","","1.1","","","","","","https://muru.ru/catalog/kukhnya-i-stolovaya/posuda/keramicheskaya-vaza-forma-sveta-535764464/","2026-06-16 10:35:16"
